Designator,Mid X,Mid Y,Rotation,Layer
D1,98.4,-43.3,270.0,top
D2,93.22,-43.2775,270.0,top
D3,95.82,-43.2975,270.0,top
D4,90.63,-43.3,270.0,top
D5,88.04,-43.3,270.0,top
J1,168.67,-128.16,90.0,top
Q1,92.03,-117.985,270.0,top
Q10,140.85,-118.0,270.0,top
Q11,131.95,-118.0,270.0,top
Q12,136.4,-118.0,270.0,top
Q13,87.55,-118.0,270.0,top
Q14,145.3,-118.0,270.0,top
Q15,149.75,-118.0,270.0,top
Q16,154.2,-118.0,270.0,top
Q17,158.65,-118.0,270.0,top
Q18,163.1,-118.0,270.0,top
Q19,87.55,-98.0125,270.0,top
Q2,96.48,-117.985,270.0,top
Q20,92.0,-98.0125,270.0,top
Q21,96.45,-98.0125,270.0,top
Q22,100.9,-98.0125,270.0,top
Q23,105.35,-98.0125,270.0,top
Q24,109.8,-98.0125,270.0,top
Q25,114.25,-98.0125,270.0,top
Q26,118.7,-98.0125,270.0,top
Q27,123.15,-98.0125,270.0,top
Q28,127.6,-98.0125,270.0,top
Q29,132.05,-98.0125,270.0,top
Q3,100.93,-117.985,270.0,top
Q30,136.5,-98.0125,270.0,top
Q31,140.95,-98.0125,270.0,top
Q32,145.4,-98.0125,270.0,top
Q33,149.85,-98.0,270.0,top
Q34,154.3,-98.0,270.0,top
Q35,158.75,-98.0,270.0,top
Q36,163.2,-98.0,270.0,top
Q37,87.55,-78.0,270.0,top
Q38,92.0,-78.0,270.0,top
Q39,96.45,-78.0,270.0,top
Q4,105.38,-117.985,270.0,top
Q40,100.9,-78.0,270.0,top
Q41,105.35,-78.0,270.0,top
Q42,109.8,-78.0,270.0,top
Q43,114.25,-78.0,270.0,top
Q44,118.7,-78.0,270.0,top
Q45,123.15,-78.0,270.0,top
Q46,127.6,-78.0,270.0,top
Q47,132.05,-78.0,270.0,top
Q48,136.5,-78.0,270.0,top
Q49,140.95,-78.0,270.0,top
Q5,109.83,-117.985,270.0,top
Q50,145.4,-78.0,270.0,top
Q51,149.85,-78.0,270.0,top
Q52,154.3,-78.0,270.0,top
Q53,158.75,-78.0,270.0,top
Q54,163.2,-78.0,270.0,top
Q55,88.05,-58.0125,270.0,top
Q56,92.5,-58.0125,270.0,top
Q57,96.95,-58.0125,270.0,top
Q58,101.4,-58.0125,270.0,top
Q59,105.85,-58.0125,270.0,top
Q6,114.28,-117.985,270.0,top
Q60,110.3,-58.0125,270.0,top
Q61,114.75,-58.0125,270.0,top
Q62,119.2,-58.0125,270.0,top
Q63,123.65,-58.0125,270.0,top
Q64,128.1,-58.0125,270.0,top
Q65,132.55,-58.0125,270.0,top
Q66,137.0,-58.0125,270.0,top
Q67,141.45,-58.0125,270.0,top
Q68,145.9,-58.0125,270.0,top
Q69,150.35,-58.0125,270.0,top
Q7,118.73,-117.985,270.0,top
Q70,154.8,-58.0125,270.0,top
Q71,159.25,-58.0125,270.0,top
Q72,163.7,-58.0125,270.0,top
Q8,123.18,-117.985,270.0,top
Q9,127.5,-118.0,270.0,top
R1,104.45,-121.525,270.0,top
R10,104.4,-101.5625,270.0,top
R11,127.6,-94.4625,90.0,top
R12,126.65,-101.5625,270.0,top
R13,140.95,-94.4625,90.0,top
R14,140.0,-101.5625,270.0,top
R15,154.3,-94.4625,90.0,top
R16,153.35,-101.5625,270.0,top
R17,105.35,-74.45,90.0,top
R18,104.4,-81.55,270.0,top
R19,127.6,-74.45,90.0,top
R2,105.35,-114.425,90.0,top
R20,126.65,-81.55,270.0,top
R21,140.95,-74.45,90.0,top
R22,140.0,-81.55,270.0,top
R23,154.3,-74.45,90.0,top
R24,153.35,-81.55,270.0,top
R25,105.85,-54.45,90.0,top
R26,104.9,-61.55,270.0,top
R27,128.1,-54.45,90.0,top
R28,127.15,-61.55,270.0,top
R29,141.45,-54.45,90.0,top
R3,126.55,-121.55,270.0,top
R30,140.5,-61.55,270.0,top
R31,154.8,-54.475,90.0,top
R32,153.85,-61.55,270.0,top
R33,92.35,-146.175,90.0,top
R34,100.45,-146.2,90.0,top
R35,108.5,-146.2,90.0,top
R36,116.5,-146.2,90.0,top
R37,133.55,-146.2,90.0,top
R38,141.65,-146.2,90.0,top
R39,149.7,-146.2,90.0,top
R4,127.5,-114.475,90.0,top
R40,157.65,-146.2,90.0,top
R41,161.37,-126.29,0.0,top
R42,161.36,-129.41,0.0,top
R5,140.85,-114.45,90.0,top
R6,139.9,-121.55,270.0,top
R7,154.2,-114.45,90.0,top
R8,153.25,-121.55,270.0,top
R9,105.35,-94.4625,90.0,top
SW1,100.45,-138.8,90.0,top
SW2,108.45,-138.8,90.0,top
SW3,116.45,-138.8,90.0,top
SW4,133.55,-138.8,90.0,top
SW5,141.65,-138.8,90.0,top
SW6,149.65,-138.8,90.0,top
SW7,157.65,-138.8,90.0,top
SW9,92.35,-138.8,90.0,top
U1,164.9975,-140.09,180.0,top
